Generation,Solution,Fitness,Constraints,Satisfied Constraints
1,"[0.5562, 0.1365, 0.0599, 0.1213, 0.0446, 0.1075, 0.2257, 0.713, 0.5597, 0.0126]",[2.711180450233489],[],0
1,"[0.072, 0.9673, 0.5681, 0.2033, 0.2523, 0.7438, 0.1954, 0.5814, 0.97, 0.8468]",[3.83349158199475],[],0
1,"[0.2398, 0.4938, 0.62, 0.829, 0.1568, 0.0186, 0.07, 0.4863, 0.6063, 0.5689]",[3.6919811579490482],[],0
1,"[0.3174, 0.9886, 0.5797, 0.3801, 0.5509, 0.7453, 0.6692, 0.2649, 0.0663, 0.3701]",[4.027831243152768],[],0
1,"[0.6297, 0.2102, 0.7528, 0.0665, 0.2603, 0.8048, 0.1934, 0.6395, 0.5247, 0.9248]",[3.8519731559385986],[],0
1,"[0.2633, 0.066, 0.7351, 0.7722, 0.9078, 0.932, 0.014, 0.2344, 0.6168, 0.949]",[3.679547917131004],[],0
1,"[0.9502, 0.5567, 0.9156, 0.6416, 0.39, 0.486, 0.6043, 0.5495, 0.9262, 0.9187]",[4.548261388216854],[],0
1,"[0.3949, 0.9633, 0.174, 0.1263, 0.1351, 0.5057, 0.0215, 0.948, 0.8271, 0.015]",[3.2357330546485596],[],0
1,"[0.1762, 0.3321, 0.131, 0.8095, 0.3447, 0.9401, 0.582, 0.8788, 0.8447, 0.9054]",[3.9206692534736622],[],0
1,"[0.4599, 0.5463, 0.7986, 0.2857, 0.4903, 0.5991, 0.0155, 0.5935, 0.4337, 0.8074]",[4.133832771216145],[],0
1,"[0.3152, 0.8929, 0.5779, 0.184, 0.7879, 0.612, 0.0539, 0.4202, 0.6791, 0.9186]",[4.03353087336064],[],0
1,"[0.0004, 0.9768, 0.3766, 0.9738, 0.6047, 0.8288, 0.5747, 0.6281, 0.2856, 0.5868]",[4.231516633523373],[],0
1,"[0.75, 0.8583, 0.7551, 0.6981, 0.8645, 0.3227, 0.6708, 0.4509, 0.3821, 0.4108]",[4.36093459363785],[],0
1,"[0.4015, 0.3174, 0.6219, 0.4302, 0.9738, 0.6778, 0.1986, 0.4267, 0.3433, 0.7976]",[4.13260422134109],[],0
1,"[0.88, 0.9038, 0.6627, 0.2702, 0.2524, 0.8549, 0.5277, 0.8022, 0.5725, 0.7331]",[4.293486532977511],[],0
1,"[0.519, 0.7709, 0.5689, 0.4657, 0.3427, 0.0682, 0.3779, 0.0796, 0.9828, 0.1816]",[3.762081715859044],[],0
1,"[0.8119, 0.875, 0.6884, 0.5695, 0.161, 0.4669, 0.3452, 0.225, 0.5925, 0.3123]",[4.024117270003636],[],0
1,"[0.9163, 0.9096, 0.2571, 0.1109, 0.193, 0.4996, 0.7286, 0.2082, 0.248, 0.8517]",[3.631796066772097],[],0
1,"[0.4158, 0.6167, 0.2337, 0.102, 0.5159, 0.4771, 0.1527, 0.6218, 0.544, 0.6541]",[3.8803724242718762],[],0
1,"[0.1445, 0.7515, 0.222, 0.5194, 0.7853, 0.0223, 0.3244, 0.8729, 0.8447, 0.5384]",[3.82837611869795],[],0
1,"[0.8666, 0.9498, 0.8264, 0.8541, 0.0987, 0.6513, 0.7035, 0.6102, 0.7996, 0.0346]",[3.987640482677126],[],0
1,"[0.7702, 0.7317, 0.2597, 0.2571, 0.6323, 0.3453, 0.7966, 0.4461, 0.7827, 0.9905]",[4.227228442631233],[],0
1,"[0.3002, 0.143, 0.9013, 0.5416, 0.9747, 0.6366, 0.9939, 0.5461, 0.5264, 0.1354]",[4.115887580684788],[],0
1,"[0.3557, 0.0262, 0.1604, 0.7456, 0.0304, 0.3665, 0.8623, 0.6927, 0.6909, 0.1886]",[3.488695896958902],[],0
1,"[0.4419, 0.5816, 0.9898, 0.2039, 0.2477, 0.2622, 0.7502, 0.457, 0.0569, 0.5085]",[3.8472964919709374],[],0
1,"[0.212, 0.7986, 0.2973, 0.0276, 0.5934, 0.8438, 0.381, 0.7499, 0.5111, 0.541]",[3.9852520428662435],[],0
1,"[0.9594, 0.804, 0.0323, 0.7094, 0.465, 0.9475, 0.2214, 0.2671, 0.0815, 0.4286]",[3.722584656183003],[],0
1,"[0.109, 0.6338, 0.803, 0.6968, 0.7662, 0.3425, 0.8459, 0.4288, 0.824, 0.6265]",[4.243383870080585],[],0
1,"[0.1434, 0.0784, 0.0183, 0.0667, 0.4586, 0.1133, 0.0278, 0.7549, 0.3949, 0.7469]",[2.8217733767101056],[],0
1,"[0.4524, 0.4501, 0.4781, 0.474, 0.8032, 0.4024, 0.9047, 0.0371, 0.7739, 0.1256]",[3.984626722968731],[],0
1,"[0.6185, 0.0104, 0.5386, 0.003, 0.9512, 0.9054, 0.796, 0.9153, 0.1456, 0.1577]",[3.52144043950565],[],0
1,"[0.1876, 0.6225, 0.9058, 0.99, 0.7111, 0.7318, 0.9093, 0.4009, 0.2499, 0.1734]",[4.011455351711366],[],0
1,"[0.1195, 0.8126, 0.1468, 0.2643, 0.8191, 0.3106, 0.9824, 0.2666, 0.5337, 0.3145]",[3.6510757528232856],[],0
1,"[0.9108, 0.3666, 0.4336, 0.5123, 0.9389, 0.0309, 0.7169, 0.891, 0.0273, 0.5221]",[3.983696056532882],[],0
1,"[0.326, 0.8595, 0.5585, 0.6902, 0.4529, 0.6283, 0.2901, 0.0093, 0.5768, 0.3114]",[3.9887658744175565],[],0
1,"[0.5173, 0.9164, 0.4265, 0.2474, 0.3713, 0.9319, 0.9369, 0.8443, 0.9202, 0.2279]",[4.1314277390866785],[],0
1,"[0.0875, 0.2273, 0.3144, 0.1748, 0.6071, 0.4136, 0.8164, 0.1851, 0.7019, 0.2404]",[3.4227850527046155],[],0
1,"[0.5742, 0.349, 0.057, 0.2288, 0.6641, 0.4973, 0.519, 0.1747, 0.5707, 0.9968]",[3.941942683748348],[],0
1,"[0.8168, 0.5944, 0.976, 0.9016, 0.5956, 0.0324, 0.0936, 0.0654, 0.4517, 0.3754]",[3.773930761863849],[],0
1,"[0.9754, 0.168, 0.9728, 0.7675, 0.8242, 0.6326, 0.6687, 0.4769, 0.0131, 0.353]",[4.066233899264027],[],0
1,"[0.4921, 0.7301, 0.4686, 0.4574, 0.1377, 0.0109, 0.7583, 0.32, 0.9844, 0.2202]",[3.825986077019149],[],0
1,"[0.3387, 0.5239, 0.7549, 0.4639, 0.1248, 0.3125, 0.5045, 0.6738, 0.7701, 0.1303]",[3.902746620866829],[],0
1,"[0.0229, 0.5191, 0.81, 0.0126, 0.6725, 0.6868, 0.4492, 0.9148, 0.6444, 0.0052]",[3.806891407088877],[],0
1,"[0.4844, 0.8593, 0.8304, 0.6492, 0.6737, 0.5785, 0.2741, 0.5605, 0.6717, 0.3524]",[4.375991686922287],[],0
1,"[0.8558, 0.195, 0.7473, 0.2896, 0.7738, 0.4277, 0.8077, 0.3535, 0.2137, 0.7673]",[3.979107734819682],[],0
1,"[0.3086, 0.7332, 0.7445, 0.2214, 0.2141, 0.1989, 0.1425, 0.3771, 0.0266, 0.1109]",[3.00085359413421],[],0
1,"[0.6746, 0.7998, 0.0805, 0.2317, 0.2076, 0.9173, 0.7113, 0.5539, 0.3045, 0.8349]",[3.8914319501299635],[],0
1,"[0.4353, 0.9235, 0.7061, 0.478, 0.1262, 0.976, 0.1598, 0.2026, 0.4312, 0.4042]",[3.8924741086314616],[],0
1,"[0.1468, 0.7293, 0.1887, 0.6439, 0.7543, 0.2107, 0.601, 0.7489, 0.6382, 0.5971]",[4.052563496000555],[],0
1,"[0.2955, 0.7316, 0.9453, 0.4256, 0.7822, 0.0561, 0.8353, 0.1923, 0.3951, 0.3001]",[3.82963452543471],[],0
1,"[0.0801, 0.9046, 0.3702, 0.5307, 0.4941, 0.1322, 0.2065, 0.0762, 0.5079, 0.2615]",[3.3996203845764232],[],0
1,"[0.3571, 0.1081, 0.7876, 0.1066, 0.9857, 0.1772, 0.5724, 0.0448, 0.7871, 0.1896]",[3.3252854993165504],[],0
1,"[0.5279, 0.7401, 0.1499, 0.5511, 0.2166, 0.7592, 0.7229, 0.1765, 0.862, 0.0198]",[3.736775274576179],[],0
1,"[0.8602, 0.5589, 0.4032, 0.7587, 0.7169, 0.9873, 0.2781, 0.0038, 0.9339, 0.8579]",[4.1138438646326705],[],0
1,"[0.7289, 0.5167, 0.707, 0.7805, 0.3749, 0.7703, 0.7506, 0.6132, 0.4019, 0.6973]",[4.46496349627305],[],0
1,"[0.0031, 0.7749, 0.8964, 0.2393, 0.1208, 0.2203, 0.3021, 0.883, 0.5432, 0.2867]",[3.476576218682578],[],0
1,"[0.1384, 0.2901, 0.6139, 0.3241, 0.4574, 0.4441, 0.8281, 0.4263, 0.3457, 0.675]",[3.9375582962127678],[],0
1,"[0.2215, 0.4672, 0.3148, 0.6269, 0.8774, 0.4477, 0.7845, 0.457, 0.6562, 0.1318]",[4.034656464460269],[],0
1,"[0.433, 0.9093, 0.6055, 0.7668, 0.5047, 0.4981, 0.8429, 0.0678, 0.5733, 0.9428]",[4.321837716387876],[],0
1,"[0.5179, 0.1945, 0.8479, 0.2516, 0.7007, 0.5403, 0.9488, 0.6243, 0.838, 0.0079]",[4.014940881795873],[],0
1,"[0.9893, 0.0777, 0.3221, 0.9462, 0.0089, 0.8227, 0.8612, 0.4398, 0.2557, 0.8027]",[3.71152991498607],[],0
1,"[0.4779, 0.1343, 0.9278, 0.896, 0.4915, 0.8567, 0.4186, 0.6835, 0.398, 0.5057]",[4.266984116945142],[],0
1,"[0.1896, 0.965, 0.2942, 0.1035, 0.1443, 0.0141, 0.7159, 0.5645, 0.7946, 0.5071]",[3.551807195451705],[],0
1,"[0.7918, 0.6958, 0.7778, 0.4065, 0.6478, 0.1798, 0.3218, 0.1726, 0.4086, 0.2414]",[3.8424758464850837],[],0
1,"[0.4069, 0.9752, 0.3203, 0.9825, 0.6363, 0.3751, 0.8575, 0.6196, 0.252, 0.7929]",[4.288370015372344],[],0
1,"[0.4329, 0.3575, 0.3303, 0.6974, 0.2687, 0.8083, 0.2953, 0.5441, 0.4879, 0.8554]",[4.101180685034244],[],0
1,"[0.8884, 0.1844, 0.5853, 0.8982, 0.4461, 0.9219, 0.279, 0.6088, 0.6825, 0.2282]",[4.1096271399618445],[],0
1,"[0.0138, 0.4167, 0.9385, 0.343, 0.7797, 0.1747, 0.342, 0.1446, 0.7168, 0.6993]",[3.7055953647317392],[],0
1,"[0.6885, 0.2534, 0.6924, 0.2273, 0.4246, 0.3719, 0.3553, 0.0577, 0.6316, 0.7073]",[3.8364707648979715],[],0
1,"[0.6136, 0.6483, 0.1699, 0.1494, 0.5142, 0.8753, 0.184, 0.4628, 0.4289, 0.4973]",[3.9044027148850557],[],0
1,"[0.1615, 0.3424, 0.2619, 0.8445, 0.8003, 0.4266, 0.607, 0.1455, 0.5096, 0.2969]",[3.762424025374767],[],0
1,"[0.8597, 0.6716, 0.6335, 0.1248, 0.4706, 0.9866, 0.9483, 0.6451, 0.1517, 0.6391]",[4.191908147358312],[],0
1,"[0.5657, 0.4687, 0.428, 0.5993, 0.85, 0.7511, 0.5794, 0.9247, 0.0647, 0.9913]",[4.344156257236275],[],0
1,"[0.053, 0.1995, 0.4228, 0.1075, 0.6237, 0.048, 0.2846, 0.061, 0.7035, 0.6685]",[3.1370904034882376],[],0
1,"[0.3786, 0.1882, 0.747, 0.3404, 0.7953, 0.4879, 0.5257, 0.0285, 0.6442, 0.3507]",[3.8816656434597907],[],0
1,"[0.2292, 0.4339, 0.3825, 0.4698, 0.9795, 0.3644, 0.7744, 0.5528, 0.8891, 0.355]",[4.201662426584615],[],0
1,"[0.2455, 0.911, 0.0435, 0.9508, 0.5564, 0.3764, 0.9951, 0.0584, 0.5167, 0.0311]",[3.5947655938270384],[],0
1,"[0.5712, 0.1805, 0.631, 0.9809, 0.8749, 0.4518, 0.7085, 0.7775, 0.4948, 0.5285]",[4.401614748460517],[],0
1,"[0.1508, 0.3694, 0.1422, 0.7269, 0.477, 0.4489, 0.886, 0.5276, 0.4091, 0.2689]",[3.8396629740327595],[],0
1,"[0.072, 0.4181, 0.0258, 0.2912, 0.5035, 0.9659, 0.1094, 0.673, 0.4999, 0.7771]",[3.6950394166825515],[],0
1,"[0.1436, 0.0832, 0.3992, 0.797, 0.1917, 0.7678, 0.2903, 0.2169, 0.0167, 0.3987]",[3.1465792069887937],[],0
1,"[0.3811, 0.6593, 0.0709, 0.1526, 0.0166, 0.1138, 0.6518, 0.4027, 0.321, 0.5579]",[3.3442292284845903],[],0
1,"[0.9935, 0.8345, 0.6996, 0.9183, 0.0397, 0.0703, 0.474, 0.3492, 0.9373, 0.4896]",[3.9682691702847426],[],0
1,"[0.5396, 0.8953, 0.4466, 0.877, 0.2536, 0.2738, 0.3284, 0.5476, 0.2201, 0.6714]",[4.033241564183857],[],0
1,"[0.1428, 0.0941, 0.8702, 0.2369, 0.386, 0.5715, 0.5258, 0.076, 0.8741, 0.9511]",[3.642735320192355],[],0
1,"[0.8125, 0.2838, 0.5278, 0.3394, 0.5547, 0.9744, 0.3117, 0.6688, 0.326, 0.7745]",[4.211366046931566],[],0
2,"[0.1052, 0.0192, 0.3702, 0.0369, 0.4941, 0.1322, 0.2065, 0.0728, 0.5079, 0.2615]",[2.6064552870899047],[],0
2,"[0.5562, 0.1365, 0.0599, 0.1213, 0.0446, 0.1075, 0.2257, 0.713, 0.5597, 0.0126]",[2.711180450233489],[],0
2,"[0.1434, 0.0784, 0.0183, 0.0667, 0.4586, 0.1133, 0.0278, 0.7549, 0.3949, 0.7469]",[2.8217733767101056],[],0
2,"[0.0774, 0.1088, 0.0163, 0.7893, 0.1032, 0.4479, 0.032, 0.2936, 0.2878, 0.7403]",[2.8703953107113347],[],0
2,"[0.0198, 0.0092, 0.0273, 0.3045, 0.1468, 0.5536, 0.1863, 0.3456, 0.3764, 0.5388]",[2.9036198579781396],[],0
2,"[0.3935, 0.9633, 0.174, 0.1199, 0.1351, 0.5531, 0.0215, 0.948, 0.1535, 0.0113]",[2.9912989822109783],[],0
2,"[0.3086, 0.7332, 0.7445, 0.2214, 0.2141, 0.1989, 0.1425, 0.3771, 0.0266, 0.1109]",[3.00085359413421],[],0
2,"[0.5183, 0.7671, 0.5763, 0.1213, 0.0446, 0.0653, 0.2257, 0.0975, 0.5467, 0.0025]",[3.0397089973535256],[],0
2,"[0.0138, 0.4167, 0.9007, 0.3479, 0.1866, 0.0703, 0.342, 0.1446, 0.0171, 0.7347]",[3.0556679859665086],[],0
2,"[0.053, 0.1995, 0.4228, 0.1075, 0.6237, 0.048, 0.2846, 0.061, 0.7035, 0.6685]",[3.1370904034882376],[],0
2,"[0.6746, 0.1287, 0.0581, 0.136, 0.2107, 0.1445, 0.29, 0.5524, 0.3045, 0.8634]",[3.141270997231953],[],0
2,"[0.1436, 0.0832, 0.3992, 0.797, 0.1917, 0.7678, 0.2903, 0.2169, 0.0167, 0.3987]",[3.1465792069887937],[],0
2,"[0.3073, 0.7312, 0.0349, 0.2203, 0.21, 0.3746, 0.9935, 0.3771, 0.0266, 0.1109]",[3.1768117576671213],[],0
2,"[0.0199, 0.0262, 0.0283, 0.2462, 0.86, 0.5388, 0.5528, 0.842, 0.1242, 0.2792]",[3.1883824608615687],[],0
2,"[0.0199, 0.0262, 0.0283, 0.2462, 0.86, 0.5728, 0.5525, 0.8755, 0.1242, 0.2792]",[3.1933851577677683],[],0
2,"[0.3949, 0.9633, 0.174, 0.1263, 0.1351, 0.5057, 0.0215, 0.948, 0.8271, 0.015]",[3.2357330546485596],[],0
2,"[0.053, 0.1995, 0.4228, 0.1075, 0.6237, 0.048, 0.3582, 0.1442, 0.7031, 0.6685]",[3.245688420961948],[],0
2,"[0.417, 0.7203, 0.0001, 0.3023, 0.1468, 0.0923, 0.1863, 0.3456, 0.3968, 0.5388]",[3.252272912964028],[],0
2,"[0.0157, 0.1995, 0.4683, 0.1075, 0.6237, 0.048, 0.2456, 0.6432, 0.2527, 0.6685]",[3.252286210713557],[],0
2,"[0.3571, 0.0924, 0.7876, 0.1066, 0.9857, 0.1772, 0.8974, 0.0448, 0.7147, 0.1896]",[3.253062779962978],[],0
2,"[0.4178, 0.9633, 0.174, 0.1302, 0.1359, 0.5057, 0.0215, 0.9459, 0.8271, 0.0103]",[3.256849173361559],[],0
2,"[0.8393, 0.8878, 0.2571, 0.0686, 0.193, 0.0854, 0.691, 0.1822, 0.248, 0.8517]",[3.2664133486365903],[],0
2,"[0.2201, 0.1005, 0.0183, 0.109, 0.4747, 0.509, 0.0685, 0.7549, 0.3949, 0.7469]",[3.269159859901063],[],0
2,"[0.1182, 0.8133, 0.1491, 0.4574, 0.1207, 0.0109, 0.7583, 0.3188, 0.9844, 0.2202]",[3.2734258405262087],[],0
2,"[0.3557, 0.0372, 0.1626, 0.1498, 0.16, 0.3657, 0.8623, 0.6927, 0.6909, 0.1822]",[3.274301251045515],[],0
2,"[0.0442, 0.9672, 0.5798, 0.2858, 0.9308, 0.8946, 0.085, 0.0364, 0.1698, 0.8781]",[3.300655646138772],[],0
2,"[0.417, 0.2922, 0.0001, 0.3023, 0.4695, 0.0935, 0.1863, 0.3456, 0.3968, 0.6843]",[3.319306943007167],[],0
2,"[0.3571, 0.1081, 0.7876, 0.1066, 0.9857, 0.1772, 0.5724, 0.0448, 0.7871, 0.1896]",[3.3252854993165504],[],0
2,"[0.0229, 0.0638, 0.8097, 0.0126, 0.901, 0.9211, 0.4336, 0.9148, 0.6425, 0.0052]",[3.3295316479520776],[],0
2,"[0.3811, 0.6593, 0.0709, 0.1526, 0.0166, 0.1138, 0.6518, 0.4027, 0.321, 0.5579]",[3.3442292284845903],[],0
2,"[0.2029, 0.965, 0.0714, 0.1035, 0.0182, 0.114, 0.7159, 0.5645, 0.7946, 0.508]",[3.3691217047574686],[],0
2,"[0.1085, 0.2273, 0.3234, 0.0034, 0.6071, 0.4136, 0.8164, 0.1851, 0.6842, 0.2404]",[3.372378053230016],[],0
2,"[0.9594, 0.804, 0.0323, 0.8935, 0.465, 0.029, 0.2214, 0.2671, 0.0815, 0.4294]",[3.3935998255747433],[],0
2,"[0.0016, 0.9004, 0.3702, 0.5307, 0.4941, 0.1322, 0.2065, 0.0762, 0.5409, 0.2615]",[3.394440851883712],[],0
2,"[0.0801, 0.9046, 0.3702, 0.5307, 0.4941, 0.1322, 0.2065, 0.0762, 0.5079, 0.2615]",[3.3996203845764232],[],0
2,"[0.0875, 0.2273, 0.3144, 0.1748, 0.6071, 0.4136, 0.8164, 0.1851, 0.7019, 0.2404]",[3.4227850527046155],[],0
2,"[0.1723, 0.9937, 0.9432, 0.6965, 0.0722, 0.747, 0.046, 0.9248, 0.7115, 0.0402]",[3.442961477927526],[],0
2,"[0.2468, 0.913, 0.7571, 0.9391, 0.5605, 0.1933, 0.1169, 0.0584, 0.5167, 0.0311]",[3.448649885068239],[],0
2,"[0.3792, 0.3666, 0.0547, 0.125, 0.9389, 0.1146, 0.6504, 0.891, 0.0308, 0.5221]",[3.450746443732801],[],0
2,"[0.0194, 0.6788, 0.2116, 0.2655, 0.4916, 0.0534, 0.5741, 0.0636, 0.5898, 0.6998]",[3.473167999910253],[],0
2,"[0.0031, 0.7749, 0.8964, 0.2393, 0.1208, 0.2203, 0.3021, 0.883, 0.5432, 0.2867]",[3.476576218682578],[],0
2,"[0.4188, 0.7879, 0.0016, 0.2441, 0.86, 0.0777, 0.5528, 0.842, 0.1445, 0.2792]",[3.4816113195208556],[],0
2,"[0.3557, 0.0262, 0.1604, 0.7456, 0.0304, 0.3665, 0.8623, 0.6927, 0.6909, 0.1886]",[3.488695896958902],[],0
2,"[0.0194, 0.6788, 0.2116, 0.2655, 0.4916, 0.0534, 0.5741, 0.1467, 0.5893, 0.6998]",[3.5099795698988427],[],0
2,"[0.0191, 0.7781, 0.2116, 0.264, 0.4916, 0.2924, 0.5741, 0.1964, 0.5876, 0.2897]",[3.5129036206835953],[],0
2,"[0.6185, 0.0104, 0.5386, 0.003, 0.9512, 0.9054, 0.796, 0.9153, 0.1456, 0.1577]",[3.52144043950565],[],0
2,"[0.4353, 0.9234, 0.7061, 0.9501, 0.1262, 0.976, 0.1397, 0.0569, 0.5165, 0.0273]",[3.5324124943287996],[],0
2,"[0.557, 0.1402, 0.0531, 0.4657, 0.3427, 0.1104, 0.3779, 0.6954, 0.9802, 0.1978]",[3.53497751706572],[],0
2,"[0.5562, 0.7988, 0.0823, 0.0845, 0.0298, 0.8782, 0.7127, 0.7145, 0.5597, 0.0474]",[3.547815882416089],[],0
2,"[0.3174, 0.9886, 0.4283, 0.7614, 0.0525, 0.3555, 0.6299, 0.2602, 0.0663, 0.1936]",[3.5511244628125316],[],0
2,"[0.1896, 0.965, 0.2942, 0.1035, 0.1443, 0.0141, 0.7159, 0.5645, 0.7946, 0.5071]",[3.551807195451705],[],0
2,"[0.1506, 0.8953, 0.3989, 0.8765, 0.2536, 0.2738, 0.3284, 0.2138, 0.2012, 0.6714]",[3.562521820754093],[],0
2,"[0.5073, 0.6593, 0.2937, 0.1526, 0.1427, 0.0139, 0.6518, 0.4027, 0.321, 0.557]",[3.566834772588511],[],0
2,"[0.8007, 0.9683, 0.3134, 0.6923, 0.8764, 0.8946, 0.085, 0.0391, 0.1698, 0.8781]",[3.57486791012655],[],0
2,"[0.1723, 0.1371, 0.9326, 0.6968, 0.066, 0.7555, 0.7539, 0.923, 0.7115, 0.1243]",[3.575593039365025],[],0
2,"[0.3571, 0.0553, 0.793, 0.1066, 0.9857, 0.1659, 0.5278, 0.0448, 0.5797, 0.6781]",[3.57706275301538],[],0
2,"[0.2455, 0.911, 0.0435, 0.9508, 0.5564, 0.3764, 0.9951, 0.0584, 0.5167, 0.0311]",[3.5947655938270384],[],0
2,"[0.9163, 0.9096, 0.2571, 0.1109, 0.193, 0.4996, 0.7286, 0.2082, 0.248, 0.8517]",[3.631796066772097],[],0
2,"[0.5976, 0.0104, 0.5296, 0.1768, 0.9512, 0.9054, 0.796, 0.9153, 0.1632, 0.1577]",[3.6326557856722137],[],0
2,"[0.0034, 0.6757, 0.8964, 0.2408, 0.1208, 0.2083, 0.3021, 0.8333, 0.5448, 0.6967]",[3.6388451295774726],[],0
2,"[0.1428, 0.0941, 0.8702, 0.2369, 0.386, 0.5715, 0.5258, 0.076, 0.8741, 0.9511]",[3.642735320192355],[],0
2,"[0.1428, 0.0941, 0.8286, 0.2368, 0.386, 0.5376, 0.5261, 0.0905, 0.8741, 0.9511]",[3.6493912617240487],[],0
2,"[0.1195, 0.8126, 0.1468, 0.2643, 0.8191, 0.3106, 0.9824, 0.2666, 0.5337, 0.3145]",[3.6510757528232856],[],0
2,"[0.3962, 0.6852, 0.2045, 0.8742, 0.0266, 0.6705, 0.4173, 0.5606, 0.1404, 0.2038]",[3.652595886048385],[],0
2,"[0.314, 0.8929, 0.5779, 0.184, 0.7879, 0.612, 0.0539, 0.0259, 0.6791, 0.278]",[3.6536464068942647],[],0
2,"[0.4192, 0.6852, 0.2045, 0.8781, 0.0274, 0.6705, 0.4173, 0.5587, 0.1404, 0.1981]",[3.663422173985865],[],0
2,"[0.5326, 0.0832, 0.447, 0.7975, 0.1917, 0.7678, 0.2903, 0.5506, 0.0167, 0.4077]",[3.675088368675152],[],0
2,"[0.2633, 0.066, 0.7351, 0.7722, 0.9078, 0.932, 0.014, 0.2344, 0.6168, 0.949]",[3.679547917131004],[],0
2,"[0.0725, 0.4167, 0.9372, 0.343, 0.7797, 0.1747, 0.341, 0.1255, 0.9303, 0.7038]",[3.690476456200941],[],0
2,"[0.2398, 0.4938, 0.62, 0.829, 0.1568, 0.0186, 0.07, 0.4863, 0.6063, 0.5689]",[3.6919811579490482],[],0
2,"[0.9977, 0.7181, 0.2833, 0.0692, 0.4586, 0.1133, 0.9094, 0.7549, 0.3949, 0.1367]",[3.692247407242736],[],0
2,"[0.072, 0.4181, 0.0258, 0.2912, 0.5035, 0.9659, 0.1094, 0.673, 0.4999, 0.7771]",[3.6950394166825515],[],0
2,"[0.0904, 0.1882, 0.747, 0.3385, 0.7953, 0.4879, 0.5267, 0.0173, 0.6506, 0.3509]",[3.7029496837883404],[],0
2,"[0.0138, 0.4167, 0.9385, 0.343, 0.7797, 0.1747, 0.342, 0.1446, 0.7168, 0.6993]",[3.7055953647317392],[],0
2,"[0.1436, 0.0832, 0.3992, 0.7921, 0.7848, 0.8346, 0.2903, 0.2169, 0.7242, 0.3987]",[3.7063959896434473],[],0
2,"[0.9798, 0.0777, 0.3221, 0.9462, 0.0089, 0.8226, 0.8612, 0.4393, 0.2557, 0.8027]",[3.707084184828784],[],0
2,"[0.6293, 0.2211, 0.1699, 0.1494, 0.5142, 0.8097, 0.0889, 0.4628, 0.4289, 0.9322]",[3.707213836307606],[],0
2,"[0.9893, 0.0777, 0.3221, 0.9462, 0.0089, 0.8227, 0.8612, 0.4398, 0.2557, 0.8027]",[3.71152991498607],[],0
2,"[0.8007, 0.1287, 0.3974, 0.6926, 0.8764, 0.8897, 0.7965, 0.0401, 0.1698, 0.9416]",[3.7119838028455416],[],0
2,"[0.9594, 0.804, 0.0295, 0.7094, 0.7102, 0.9475, 0.2214, 0.2646, 0.0891, 0.4286]",[3.7152884243421664],[],0
2,"[0.1445, 0.7515, 0.222, 0.5664, 0.9839, 0.0081, 0.2759, 0.8662, 0.8447, 0.3572]",[3.7162164110213465],[],0
2,"[0.9594, 0.804, 0.0323, 0.7094, 0.465, 0.9475, 0.2214, 0.2671, 0.0815, 0.4286]",[3.722584656183003],[],0
